A5A616	mgtS	b4599	Small protein MgtS
P76472	arnD	b2256	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)
P76498	yfcO	b2332	Uncharacterized protein YfcO
P76499	yfcP	b2333	Uncharacterized fimbrial-like protein YfcP
P76500	yfcQ	b2334	Uncharacterized fimbrial-like protein YfcQ
P76501	yfcR	b2335	Uncharacterized fimbrial-like protein YfcR
P76502	sixA	b2340	Phosphohistidine phosphatase SixA (EC 3.1.3.-) (RX6)
P76506	mlaA	b2346	Intermembrane phospholipid transport system lipoprotein MlaA
P76540	eutK	b2438	Bacterial microcompartment shell protein EutK (Ethanolamine utilization protein EutK)
P76542	intZ	b2442	Prophage integrase IntZ (Putative prophage CPZ-55 integrase)
P76551	eutA	b2451	Ethanolamine ammonia-lyase reactivase EutA
P76552	eutH	b2452	Probable ethanolamine permease EutH (Ethanolamine utilization protein EutH)
P76555	eutQ	b2460	Acetate kinase EutQ (EC 2.7.2.1) (Ethanolamine utilization protein EutQ)
P76556	eutP	b2461	Probable acetate kinase EutP (EC 2.7.2.1) (Ethanolamine utilization protein EutP)
P76655	yqiG	b3046	Putative outer membrane usher protein YqiG
P76909	ynjD	b1756	Uncharacterized ABC transporter ATP-binding protein YnjD
P77156	ydcU	b1442	Inner membrane ABC transporter permease protein YdcU
P77170	pinQ	b1545	Serine recombinase PinQ (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinQ) (Putative DNA-invertase from lambdoid prophage Qin) (Site-specific recombinase PinQ)
P77171	ydcI	b1422	Uncharacterized HTH-type transcriptional regulator YdcI
P77179	rsxE	b1632	Ion-translocating oxidoreductase complex subunit E (EC 7.-.-.-) (Rsx electron transport complex subunit E)
P77183	paoD	b0283	Molybdenum cofactor insertion chaperone PaoD
P77196	yfcU	b4661	Putative outer membrane usher protein YfcU
P77213	ybdK	b0581	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)
P77228	ydfJ	b1543	Putative transporter YdfJ
P77231	citG	b0613	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.4.2.52)
P77249	sfmC	b0531	Probable fimbrial chaperone SfmC
P77265	mdlA	b0448	Multidrug resistance-like ATP-binding protein MdlA (EC 7.6.2.2)
P77268	ddpD	b1484	Probable D,D-dipeptide transport ATP-binding protein DdpD
P77269	yphF	b2548	ABC transporter periplasmic-binding protein YphF
P77288	yfcV	b2339	Uncharacterized fimbrial-like protein YfcV
P77293	yfdH	b2351	Prophage bactoprenol glucosyl transferase homolog (EC 2.4.1.-) (Bactoprenol glucosyl transferase homolog from prophage CPS-53)
P77315	yphD	b2546	Probable ABC transporter permease protein YphD
P77318	ydeN	b1498	Uncharacterized sulfatase YdeN (EC 3.1.6.-)
P77319	hscC	b0650	Chaperone protein HscC (Hsc62)
P77329	hyfG	b2487	Hydrogenase-4 component G (EC 1.-.-.-)
P77365	yafY	b0251	Lipoprotein YafY
P77368	ybcL	b0545	UPF0098 protein YbcL
P77375	ydhX	b1671	Uncharacterized ferredoxin-like protein YdhX
P77377	wzxC	b2046	Lipopolysaccharide biosynthesis protein WzxC
P77390	citC	b0618	[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22) (Acetate:SH-citrate lyase ligase) (Citrate lyase synthetase)
P77400	ybaT	b0486	Inner membrane transport protein YbaT
P77416	hyfD	b2484	Hydrogenase-4 component D (EC 1.-.-.-)
P77432	lsrK	b1511	Autoinducer-2 kinase (AI-2 kinase) (EC 2.7.1.189)
P77437	hyfF	b2486	Hydrogenase-4 component F (EC 1.-.-.-)
P77445	eutE	b2455	Acetaldehyde dehydrogenase (acetylating) EutE (EC 1.2.1.10) (Ethanolamine utilization protein EutE)
P77468	sfmD	b0532	Outer membrane usher protein SfmD
P77473	pdeB	b0457	Probable cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)
P77481	ycjV	b4524	Putative uncharacterized ABC transporter ATP-binding protein YcjV
P77494	hokB	b4428	Toxic protein HokB
P77509	yphE	b2547	Uncharacterized ABC transporter ATP-binding protein YphE
P77549	yfcJ	b2322	Uncharacterized MFS-type transporter YfcJ
P77561	ydeP	b1501	Protein YdeP
P77579	fryC	b2386	Fructose-like permease IIC component 1 (PTS system fructose-like EIIC component 1)
P77596	yagF	b0269	D-xylonate dehydratase YagF (EC 4.2.1.82)
P77599	yfcS	b2336	Probable fimbrial chaperone YfcS
P77622	ddpF	b1483	Probable D,D-dipeptide transport ATP-binding protein DdpF
P77672	lsrC	b1514	Autoinducer 2 import system permease protein LsrC (AI-2 import system permease protein LsrC)
P77682	yfdG	b2350	Prophage bactoprenol-linked glucose translocase homolog (Bactoprenol-linked glucose translocase homolog from prophage CPS-53)
P77689	sufD	b1681	Iron-sulfur cluster assembly protein SufD
P77692	ykfI	b0245	Toxin YkfI
P77716	ycjP	b1312	Inner membrane ABC transporter permease protein YcjP
P77744	abgR	b1339	HTH-type transcriptional regulator AbgR
P77756	queC	b0444	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)
P77768	rpnB	b2305	Recombination-promoting nuclease RpnB (EC 3.1.21.-)
P77795	ydcT	b1441	Uncharacterized ABC transporter ATP-binding protein YdcT
P77804	ydgA	b1614	Protein YdgA
P77858	hyfC	b2483	Hydrogenase-4 component C (EC 1.-.-.-)
P78067	ynjE	b1757	Thiosulfate sulfurtransferase YnjE (EC 2.8.1.1)
Q46798	ygeR	b2865	Uncharacterized lipoprotein YgeR
Q46801	xdhC	b2868	Putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC
Q46802	uacR	b2869	Putative uric acid sigma-54-dependent transcriptional regulator UacR (Uric acid regulator)
Q46803	ygeW	b2870	Putative carbamoyltransferase YgeW (EC 2.1.3.-) (UTCase)
Q46811	ygfK	b2878	Putative oxidoreductase YgfK (Putative oxidoreductase Fe-S subunit)
Q46814	xdhD	b2881	Probable hypoxanthine oxidase XdhD (EC 1.-.-.-)
Q46820	uacF	b2887	Putative oxidoreductase UacF (Uric acid degradation formate-related element)
Q46824	ygfX	b2896	Inner membrane protein YgfX (Toxin CptA)
Q46836	pppA	b2972	Prepilin peptidase PppA
Q46863	ygiS	b3020	Probable deoxycholate-binding periplasmic protein YgiS
Q46890	otnC	b2738	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)
Q46891	otnI	b2739	2-oxo-tetronate isomerase (EC 5.3.1.35) (2-dehydrotetronate isomerase) (Glyoxylate-induced protein YgbM)
Q46908	ygcR	b2770	Putative electron transfer flavoprotein subunit YgcR
Q46911	ygcU	b4463	Uncharacterized FAD-linked oxidoreductase YgcU (EC 1.-.-.-)
Q46915	gudX	b2788	Glucarate dehydratase-related protein (GDH-RP) (GlucDRP) (EC 4.2.1.-)
Q46939	yqeF	b2844	Probable acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)
Q46953	ypjF	b2646	Toxin YpjF
Q47005	nac	b1988	Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)
Q47013	elaD	b2269	Protease ElaD (EC 3.4.22.-) (Deubiquitinase) (Deubiquitinating enzyme) (DUB) (Deubiquitinating protease)
Q47083	cbl	b1987	HTH-type transcriptional regulator cbl
Q47129	feaR	b1384	Transcriptional activator FeaR
Q47142	hcaT	b2536	Probable 3-phenylpropionic acid transporter
Q47156	yafN	b0232	Antitoxin YafN
Q47208	fdrA	b0518	Protein FdrA
Q47539	tauC	b0367	Taurine transport system permease protein TauC
Q47622	sapA	b1294	Probable ABC transporter periplasmic-binding protein SapA
Q47689	mmuP	b0260	Probable S-methylmethionine permease
Q47706	uidC	b1615	Membrane-associated protein UidC
Q57083	perR	b0254	HTH-type transcriptional regulator PerR (Peroxide resistance protein PerR)
Q6BEX0	ytfR	b4485	Galactofuranose transporter ATP-binding protein YtfR (EC 7.5.2.9)
A0A385XJ53	insA9	b4709	Insertion element IS1 9 protein InsA (IS1 repressor TnpA)
A0A385XJE6	insH21	b4711	Transposase InsH for insertion sequence element IS5U
A0A385XJL4	insB9	b4710	Insertion element IS1 9 protein InsB (IS1i)
A5A605	ykfM	b4586	Uncharacterized protein YkfM
A5A615	yncL	b4598	Uncharacterized protein YncL
A5A624	dinQ	b4613	Uncharacterized protein DinQ
A5A628	yjbT	b4620	Uncharacterized protein YjbT
A5A630	ytcA	b4622	Uncharacterized protein YtcA
A8DYP9	uof	b4637	fur leader peptide
C1P5Z7	sgrT	b4662	Putative inhibitor of glucose uptake transporter SgrT
C1P5Z8	ykgR	b4671	Uncharacterized membrane protein YkgR
C1P601	rzoQ	b4689	Putative lipoprotein RzoQ
C1P602	yoaK	b4676	Uncharacterized membrane protein YoaK
C1P603	yoaJ	b4675	Uncharacterized protein YoaJ
C1P605	azuC	b4663	Uncharacterized protein AzuC
C1P608	ibsB	b4668	Small toxic protein IbsB
C1P609	yohP	b4679	Uncharacterized membrane protein YohP
C1P610	ypdK	b4680	Uncharacterized membrane protein YpdK
C1P611	shoB	b4687	Small toxic protein ShoB
E2JKY7	mgtL	b4702	mgtA leader peptide (Regulatory leader peptide for mgtA)
G3MTW7	pmrR	b4703	Putative membrane protein PmrR
O32528	ypdI	b2376	Uncharacterized lipoprotein YpdI
P03061	ivbL	b3672	ilv operon leader peptide (ilvBN operon attenuator peptide)
P03835	insG	b4278	Transposase InsG for insertion sequence element IS4
P03841	malM	b4037	Maltose operon periplasmic protein
P04846	nlpA	b3661	Lipoprotein 28
P06965	dicC	b1569	Repressor protein of division inhibition gene dicB
P07021	yfiB	b2605	Putative lipoprotein YfiB
P08245	yciH	b1282	Uncharacterized protein YciH
P08369	creD	b4400	Inner membrane protein CreD
P08371	ppdB	b2825	Prepilin peptidase-dependent protein B
P08372	ppdC	b2823	Prepilin peptidase-dependent protein C
P08390	usg	b2319	USG-1 protein
P09127	hemX	b3803	Protein HemX (ORF X)
P09153	tfaE	b1156	Prophage tail fiber assembly protein homolog TfaE (Tail fiber assembly protein homolog from lambdoid prophage e14)
P09162	yjaA	b4011	Uncharacterized protein YjaA
P09557	dicB	b1575	Division inhibition protein DicB
P0A6N8	yeiP	b2171	Elongation factor P-like protein
P0A772	nrdI	b2674	Protein NrdI
P0A7C8	psiE	b4030	Protein PsiE
P0A8A0	yebC	b1864	Probable transcriptional regulatory protein YebC
P0A8A2	yeeN	b1983	Probable transcriptional regulatory protein YeeN
P0A8B2	yfcN	b2331	UPF0115 protein YfcN
P0A8C1	ybjQ	b0866	UPF0145 protein YbjQ
P0A8C4	ygfB	b2909	UPF0149 protein YgfB
P0A8D3	yaiI	b0387	UPF0178 protein YaiI
P0A8D9	yfbV	b2295	UPF0208 membrane protein YfbV
P0A8E1	ycfP	b1108	UPF0227 protein YcfP
P0A8J4	ybeD	b0631	UPF0250 protein YbeD
P0A8K8	yihY	b3886	UPF0761 membrane protein YihY
P0A8M6	yeeX	b2007	UPF0265 protein YeeX
P0A8R7	ycjF	b1322	UPF0283 membrane protein YcjF
P0A8T5	fliE	b1937	Flagellar hook-basal body complex protein FliE
P0A8U2	yafD	b0209	UPF0294 protein YafD
P0A8W5	yqgE	b2948	UPF0301 protein YqgE
P0A8W8	yfbU	b2294	UPF0304 protein YfbU
P0A8X0	yjgA	b4234	UPF0307 protein YjgA (x96 protein)
P0A8X2	yceI	b1056	Protein YceI
P0A8X4	yccT	b0964	UPF0319 protein YccT
P0A8Z7	yqiA	b3031	Esterase YqiA (EC 3.1.-.-)
P0A905	slyB	b1641	Outer membrane lipoprotein SlyB
P0A976	cspF	b1558	Cold shock-like protein CspF (CSP-F)
P0A978	cspG	b0990	Cold shock-like protein CspG (CPS-G)
P0A982	cspH	b0989	Cold shock-like protein CspH (CSP-H)
P0A986	cspI	b1552	Cold shock-like protein CspI (CPS-I)
P0A9A2	ftnB	b1902	Bacterial non-heme ferritin-like protein
P0A9K1	phoH	b1020	Protein PhoH (Phosphate starvation-inducible protein PsiH)
P0A9K3	ybeZ	b0660	PhoH-like protein
P0A9R2	essD	b0554	Prophage lysis protein S homolog EssD (Lysis protein S homolog from lambdoid prophage DLP12)
P0A9T6	ybaQ	b0483	Uncharacterized HTH-type transcriptional regulator YbaQ
P0A9T8	ybbA	b0495	Uncharacterized ABC transporter ATP-binding protein YbbA
P0A9U3	ybiT	b0820	Probable ATP-binding protein YbiT
P0A9U8	ydiO	b1695	Probable acyl-CoA dehydrogenase YdiO (EC 1.3.-.-)
P0A9V5	yiaG	b3555	Uncharacterized HTH-type transcriptional regulator YiaG
P0A9W9	yrdA	b3279	Protein YrdA
P0AA31	yedF	b1930	Putative sulfur carrier protein YedF
P0AA49	yfdV	b2372	Uncharacterized transporter YfdV
P0AA70	yedA	b1959	Uncharacterized inner membrane transporter YedA
P0AA91	yeaY	b1806	Uncharacterized lipoprotein YeaY
P0AAA1	yagU	b0287	Inner membrane protein YagU
P0AAA3	ecpA	b0293	Common pilus major fimbrillin subunit EcpA (MatB fimbrillin)
P0AAA5	ymcE	b0991	Uncharacterized protein YmcE
P0AAC4	ybhL	b0786	Inner membrane protein YbhL
P0AAE5	ydgI	b1605	Putative arginine/ornithine antiporter
P0AAK4	hydN	b2713	Electron transport protein HydN
P0AAL6	ydhY	b1674	Uncharacterized ferredoxin-like protein YdhY
P0AAN1	hybE	b2992	Hydrogenase-2 operon protein HybE
P0AAP5	iprA	b0375	Inhibitor of hydrogen peroxide resistance
P0AAP7	yaiY	b0379	Inner membrane protein YaiY
P0AAQ0	yaiZ	b0380	Uncharacterized protein YaiZ
P0AAQ2	yajD	b0410	Putative HNH nuclease YajD (EC 3.1.-.-)
P0AAR5	ybaN	b0468	Inner membrane protein YbaN
P0AAR8	ybaV	b0442	Uncharacterized protein YbaV
P0AAS0	ylaC	b0458	Inner membrane protein YlaC
P0AAS3	ybbJ	b0488	Inner membrane protein YbbJ
P0AAU7	ybfE	b0685	Uncharacterized protein YbfE
P0AAV0	ybgE	b0735	Uncharacterized protein YbgE
P0AAW5	ybhQ	b0791	Inner membrane protein YbhQ
P0AAX3	ybiJ	b0802	Uncharacterized protein YbiJ
P0AAY1	bssR	b0836	Biofilm regulator BssR
P0AAZ0	ybjO	b0858	Inner membrane protein YbjO
P0AB06	ycbK	b0926	Uncharacterized protein YcbK
P0AB12	yccF	b0961	Inner membrane protein YccF
P0AB14	yccJ	b1003	Uncharacterized protein YccJ
P0AB26	yceB	b1063	Uncharacterized lipoprotein YceB
P0AB35	ycfJ	b1110	Uncharacterized protein YcfJ
P0AB49	ychH	b1205	Uncharacterized protein YchH
P0AB52	ychN	b1219	Protein YchN
P0AB55	yciI	b1251	Protein YciI
P0ABR1	dinI	b1061	DNA damage-inducible protein I
P0ABY2	fliT	b1926	Flagellar protein FliT
P0ABY4	fldB	b2895	Flavodoxin 2
P0AC73	ebgC	b3077	Evolved beta-galactosidase subunit beta
P0ACG6	hokD	b1562	Toxic protein HokD (Protein RelF)
P0ACH1	sfsB	b3188	Sugar fermentation stimulation protein B (Ner-like protein)
P0ACI0	rob	b4396	Right origin-binding protein
P0ACI3	xylR	b3569	Xylose operon regulatory protein
P0ACL2	exuR	b3094	Exu regulon transcriptional regulator
P0ACM2	rspR	b1540	HTH-type transcriptional repressor RspR
P0ACM5	yegW	b2101	Uncharacterized HTH-type transcriptional regulator YegW
P0ACM9	yihL	b3872	Uncharacterized HTH-type transcriptional regulator YihL
P0ACR2	ydhB	b1659	Uncharacterized HTH-type transcriptional regulator YdhB
P0ACR4	yeiE	b2157	Uncharacterized HTH-type transcriptional regulator YeiE
P0ACR7	yfeR	b2409	Uncharacterized HTH-type transcriptional regulator YfeR
P0ACU7	yjdC	b4135	HTH-type transcriptional regulator YjdC
P0ACX0	ydgC	b1607	Inner membrane protein YdgC
P0ACX9	ydiE	b1705	Uncharacterized protein YdiE
P0ACY3	yeaG	b1783	Uncharacterized protein YeaG
P0ACY6	yeaL	b1789	UPF0756 membrane protein YeaL
P0ACY9	yebG	b1848	Uncharacterized protein YebG
P0AD12	yeeZ	b2016	Protein YeeZ
P0AD17	yohC	b2135	Inner membrane protein YohC
P0AD19	yohK	b2142	Inner membrane protein YohK
P0AD24	yejL	b2187	UPF0352 protein YejL
P0AD27	yejM	b2188	Inner membrane protein YejM
P0AD30	yfcA	b2327	Probable membrane transporter protein YfcA
P0AD35	yfdO	b2358	Protein YfdO
P0AD47	yphA	b2543	Inner membrane protein YphA
P0AD72	pheL	b2598	phe operon leader peptide (phe operon attenuator peptide)
P0AD79	leuL	b0075	leu operon leader peptide (leu operon attenuator peptide)
P0AD83	pyrL	b4246	pyr operon leader peptide (pyrBI operon attenuator)
P0AD86	thrL	b0001	thr operon leader peptide (thr operon attenuator)
P0AD92	trpL	b1265	trp operon leader peptide
P0ADA5	yajG	b0434	Uncharacterized lipoprotein YajG
P0ADA7	osmB	b1283	Osmotically-inducible lipoprotein B
P0ADB1	osmE	b1739	Osmotically-inducible putative lipoprotein OsmE (Activator of ntr-like gene protein)
P0ADD7	yjjQ	b4365	Putative transcription factor YjjQ
P0ADE2	ytfK	b4217	Uncharacterized protein YtfK
P0ADF3	rhoL	b3782	rho operon leader peptide (RhoL)
P0ADI7	yecD	b1867	Isochorismatase family protein YecD (EC 3.-.-.-)
P0ADI9	yhhN	b3468	Uncharacterized membrane protein YhhN
P0ADJ3	yhjR	b3535	Protein YhjR
P0ADJ5	bcsF	b3537	Cellulose biosynthesis protein BcsF
P0ADJ8	yiaA	b3562	Inner membrane protein YiaA
P0ADK4	yiaW	b3587	Inner membrane protein YiaW
P0ADK6	yibA	b3594	Protein YibA
P0ADL6	yidG	b3675	Inner membrane protein YidG
P0ADM0	yidH	b3676	Inner membrane protein YidH
P0ADM4	yidQ	b3688	Uncharacterized protein YidQ
P0ADM8	yieE	b3712	Uncharacterized protein YieE
P0ADN6	yifL	b4558	Uncharacterized lipoprotein YifL
P0ADQ5	yiiE	b3889	Uncharacterized protein YiiE
P0ADR0	yqaA	b2689	Inner membrane protein YqaA
P0ADR2	ygdD	b2807	UPF0382 inner membrane protein YgdD
P0ADS6	yggE	b2922	Uncharacterized protein YggE
P0ADT2	ygiB	b3037	UPF0441 protein YgiB
P0ADT8	ygiM	b3055	Uncharacterized protein YgiM
P0ADX7	yhhA	b3448	Uncharacterized protein YhhA (ORFQ)
P0AE14	ampE	b0111	Protein AmpE
P0AE28	aroM	b0390	Protein AroM
P0AE42	yqaE	b2666	UPF0057 membrane protein YqaE
P0AE48	ytfP	b4222	Gamma-glutamylcyclotransferase family protein YtfP
P0AE58	caiF	b0034	Transcriptional activatory protein CaiF
P0AE63	chaB	b1217	Putative cation transport regulator ChaB
P0AE74	citT	b0612	Citrate/succinate antiporter (Citrate carrier) (Citrate transporter)
P0AE78	corC	b0658	Magnesium and cobalt efflux protein CorC
P0AE91	creA	b4397	Protein CreA (Catabolite regulation protein A)
P0AEB7	yoaB	b1809	RutC family protein YoaB
P0AEC0	yoaE	b1816	UPF0053 inner membrane protein YoaE
P0AEH3	elaA	b2267	Protein ElaA
P0AEH8	yjiG	b4329	Inner membrane protein YjiG
P0AEL8	fimZ	b0535	Fimbriae Z protein
P0AEQ1	glcG	b2977	Protein GlcG
P0AET5	hdeD	b3511	Protein HdeD
P0AEV4	hycA	b2725	Formate hydrogenlyase regulatory protein HycA
P0AEV7	hycH	b2718	Formate hydrogenlyase maturation protein HycH
P0AEX5	prkB	b3355	Probable phosphoribulokinase (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)
P0AEY1	marC	b1529	UPF0056 inner membrane protein MarC
P0AF43	yjbB	b4020	Uncharacterized protein YjbB
P0AF45	yjbE	b4026	Uncharacterized protein YjbE
P0AF54	yjcH	b4068	Inner membrane protein YjcH
P0AF78	yjfJ	b4182	Uncharacterized protein YjfJ
P0AF80	yjfL	b4184	UPF0719 inner membrane protein YjfL
P0AF82	yjfN	b4188	Uncharacterized protein YjfN
P0AFI9	perM	b2493	Putative permease PerM
P0AFJ1	yjdM	b4108	Protein YjdM
P0AFN6	yadH	b0128	Inner membrane transport permease YadH
P0AFP0	yadS	b0157	UPF0126 inner membrane protein YadS
P0AFP4	ybbO	b0493	Uncharacterized oxidoreductase YbbO (EC 1.-.-.-)
P0AFR0	rssA	b1234	NTE family protein RssA
P0AFR4	yciO	b1267	Uncharacterized protein YciO
P0AFS7	ydiK	b1688	Putative transport protein YdiK
P0AFU2	yfbS	b2292	Uncharacterized transporter YfbS
P0AFV0	yibH	b3597	Inner membrane protein YibH
P0AFW8	rof	b0189	Protein rof
P0AFZ1	sseB	b2522	Protein SseB
P0AG27	yibN	b3611	Uncharacterized protein YibN
P0AG71	rmuC	b3832	DNA recombination protein RmuC
P0AGC7	ytjB	b4387	Probable inner membrane protein Smp
P0AGH1	yhhJ	b3485	Inner membrane transport permease YhhJ
P0AGJ5	yfiF	b2581	Uncharacterized tRNA/rRNA methyltransferase YfiF (EC 2.1.1.-)
P0AGM0	yhhT	b3474	Putative transport protein YhhT
P0AGM2	yicG	b3646	UPF0126 inner membrane protein YicG
P0AGM5	ychA	b1214	UPF0162 protein YchA (Protein SirB1)
P0CE49	insH1	b0259	Transposase InsH for insertion sequence element IS5A
P0CE50	insH2	b0552	Transposase InsH for insertion sequence element IS5B
P0CE51	insH3	b0656	Transposase InsH for insertion sequence element IS5D
P0CE52	insH4	b1331	Transposase InsH for insertion sequence element IS5F
P0CE53	insH6	b1994	Transposase InsH for insertion sequence element IS5H
P0CE54	insH7	b2030	Transposase InsH for insertion sequence element IS5I
P0CE55	insH8	b2192	Transposase InsH for insertion sequence element IS5K
P0CE56	insH9	b2982	Transposase InsH for insertion sequence element IS5LO
P0CE57	insH10	b3218	Transposase InsH for insertion sequence element IS5R
P0CE58	insH11	b3505	Transposase InsH for insertion sequence element IS5T
P0CF07	insA1	b0022	Insertion element IS1 1 protein InsA (IS1a)
P0CF08	insA2	b0265	Insertion element IS1 2 protein InsA (IS1b)
P0CF09	insA3	b0275	Insertion element IS1 3 protein InsA (IS1c)
P0CF10	insA4	b4516	Insertion element IS1 4 protein InsA (IS1d)
P0CF11	insA5	b1894	Insertion element IS1 5 protein InsA (IS1h)
P0CF12	insA6	b3444	Insertion element IS1 6 protein InsA (IS1e)
P0CF25	insB1	b0021	Insertion element IS1 1 protein InsB (IS1a)
